track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF335SZB	ENCFF335SZB	ENCSR590KEQ	ENCSR728JEK	BPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ChIP-seq	ARNT	GM12878	cell-line	cell-line	cell-line	none	none	passed
ENCFF685XAJ	ENCFF685XAJ	ENCSR760UKJ	ENCSR572ENG	BPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ChIP-seq	ARNT	HEK293T	cell-line	cell-line	cell-line	none	none	passed
ENCFF910BGI	ENCFF910BGI	ENCSR267TGY	ENCSR041XVL	BPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ChIP-seq	ARNT2	HepG2	cell-line	cell-line	cell-line	none	none	passed
ENCFF629NWU	ENCFF629NWU	ENCSR794LVK	ENCSR768KYM	BPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ChIP-seq	ARNTL	HepG2	cell-line	cell-line	cell-line	none	none	passed
ENCFF171EAB	ENCFF171EAB	ENCSR949COJ	ENCSR195HNX	BPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ChIP-seq	ARNTL	SK-N-SH	cell-line	cell-line	cell-line	none	none	passed
ENCFF029SGS	ENCFF029SGS	ENCSR253OON	ENCSR921NDS	BPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ChIP-seq	ATF1	HepG2	cell-line	cell-line	cell-line	none	none	passed
ENCFF168ORT	ENCFF168ORT	ENCSR159OCC	ENCSR098GCX	BPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	none	none	passed
ENCFF282HTX	ENCFF282HTX	ENCSR091GVJ	ENCSR901APQ	BPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	none	none	passed
ENCFF509YON	ENCFF509YON	ENCSR085XDP	ENCSR492OAC	BPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	none	none	passed
ENCFF681JNL	ENCFF681JNL	ENCSR000DNZ	ENCSR945EBR	BPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	none	none	passed
ENCFF898OFB	ENCFF898OFB	ENCSR887VJM	ENCSR066VPU	BPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ChIP-seq	ATF1	WTC11	cell-line	cell-line	cell-line	none	none	passed
ENCFF388PHK	ENCFF388PHK	ENCSR961PPA	ENCSR948FHI	BPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	none	none	passed
ENCFF962YYH	ENCFF962YYH	ENCSR000BQK	ENCSR805HVX	BPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	none	none	passed
ENCFF612QFH	ENCFF612QFH	ENCSR000BQU	ENCSR351BPK	BPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ChIP-seq	ATF2	H1	cell-line	cell-line	cell-line	none	none	passed
ENCFF837JAK	ENCFF837JAK	ENCSR217HTK	ENCSR510IRZ	BPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ChIP-seq	ATF2	HEK293	cell-line	cell-line	cell-line	none	none	passed
ENCFF432CRA	ENCFF432CRA	ENCSR047BUZ	ENCSR268FRB	BPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	none	none	passed
