track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF395XCX	ENCFF395XCX	ENCSR046BCI	ENCSR072YCM	ProCapNet	sequence contribution scores profile	bigWig	PRO-cap	none	A673	cell-line	cell-line	cell-line	none	profile	passed
ENCFF566GOV	ENCFF566GOV	ENCSR100LIJ	ENCSR182QNJ	ProCapNet	sequence contribution scores profile	bigWig	PRO-cap	none	Caco-2	cell-line	cell-line	cell-line	none	profile	passed
ENCFF369BLK	ENCFF369BLK	ENCSR935RNW	ENCSR797DEF	ProCapNet	sequence contribution scores profile	bigWig	PRO-cap	none	Calu3	cell-line	cell-line	cell-line	none	profile	passed
ENCFF105JTF	ENCFF105JTF	ENCSR261KBX	ENCSR740IPL	ProCapNet	sequence contribution scores profile	bigWig	PRO-cap	none	K562	cell-line	cell-line	cell-line	none	profile	passed
ENCFF117LHD	ENCFF117LHD	ENCSR799DGV	ENCSR860TYZ	ProCapNet	sequence contribution scores profile	bigWig	PRO-cap	none	MCF-10A	cell-line	cell-line	cell-line	none	profile	passed
ENCFF090ECF	ENCFF090ECF	ENCSR098LLB	ENCSR801ECP	ProCapNet	sequence contribution scores profile	bigWig	PRO-cap	none	endothelial-cell-of-umbilical-vein	endothelial	blood-vessel	circulatory-system	none	profile	passed
