track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF150TPQ	ENCFF150TPQ	ENCSR567IWT	ENCSR206BGH	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF173MMZ	ENCFF173MMZ	ENCSR134BSY	ENCSR721RIF	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF192HAN	ENCFF192HAN	ENCSR832IQN	ENCSR604TTC	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF215TKZ	ENCFF215TKZ	ENCSR376DAE	ENCSR182DEK	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF254UXL	ENCFF254UXL	ENCSR206KJN	ENCSR912RWV	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF275DPS	ENCFF275DPS	ENCSR240TZG	ENCSR792HAG	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF287JQW	ENCFF287JQW	ENCSR324OTS	ENCSR095QWC	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF302HWI	ENCFF302HWI	ENCSR930USX	ENCSR295EEC	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF377HZA	ENCFF377HZA	ENCSR408GYQ	ENCSR558IEO	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF382ZAD	ENCFF382ZAD	ENCSR389BWT	ENCSR506RGL	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
