track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF496KXS	ENCFF496KXS	ENCSR046BCI	ENCSR072YCM	ProCapNet	sequence contribution scores counts	bigWig	PRO-cap	none	A673	cell-line	cell-line	cell-line	none	counts	passed
ENCFF773CZW	ENCFF773CZW	ENCSR100LIJ	ENCSR182QNJ	ProCapNet	sequence contribution scores counts	bigWig	PRO-cap	none	Caco-2	cell-line	cell-line	cell-line	none	counts	passed
ENCFF255ZJK	ENCFF255ZJK	ENCSR935RNW	ENCSR797DEF	ProCapNet	sequence contribution scores counts	bigWig	PRO-cap	none	Calu3	cell-line	cell-line	cell-line	none	counts	passed
ENCFF399XSL	ENCFF399XSL	ENCSR261KBX	ENCSR740IPL	ProCapNet	sequence contribution scores counts	bigWig	PRO-cap	none	K562	cell-line	cell-line	cell-line	none	counts	passed
ENCFF898JHY	ENCFF898JHY	ENCSR799DGV	ENCSR860TYZ	ProCapNet	sequence contribution scores counts	bigWig	PRO-cap	none	MCF-10A	cell-line	cell-line	cell-line	none	counts	passed
ENCFF142HSZ	ENCFF142HSZ	ENCSR098LLB	ENCSR801ECP	ProCapNet	sequence contribution scores counts	bigWig	PRO-cap	none	endothelial-cell-of-umbilical-vein	endothelial	blood-vessel	circulatory-system	none	counts	passed
